Country,2010_CO2_Emissions,2011_CO2_Emissions,2012_CO2_Emissions,2013_CO2_Emissions,2014_CO2_Emissions,2015_CO2_Emissions,2016_CO2_Emissions,2017_CO2_Emissions,2010_GDP,2011_GDP,2012_GDP,2013_GDP,2014_GDP,2015_GDP,2016_GDP,2017_GDP
Afghanistan,8.4522,12.225999999999999,10.7421,10.0004,9.7892,10.1074,12.2579,13.0147,15.325,17.89,20.293,20.17,20.616,20.057,19.428,20.235
Albania,4.5947,5.2359,4.9061,5.06,5.7122,5.9477,6.2729,6.3792,11.938,12.896,12.323,12.804,13.219,11.364,11.868,13.055
Algeria,117.8141,119.8069,128.11,132.4346,143.1771,150.5925,150.378,150.5514,161.207,200.251,209.016,209.755,213.81,165.979,160.13,167.555
Angola,28.8645,30.1421,33.1858,32.3731,34.4576,34.7611,35.351,35.3899,83.799,111.79,128.053,136.71,145.712,116.194,101.124,122.124
Antigua and Barbuda,0.52395,0.5129600000000001,0.52395,0.52395,0.53128,0.5546300000000001,0.5654,0.5653,1.152,1.142,1.211,1.193,1.276,1.359,1.465,1.516
Argentina,186.6865,190.2479,191.0447,188.4281,202.6715,206.368,207.0641,204.3234,424.728,527.644,579.666,611.471,563.614,642.464,556.774,642.928
Armenia,4.2602,4.9689,5.7483,5.5494,5.5814,5.7917,5.9608,5.6564,9.26,10.142,10.619,11.121,11.61,10.553,10.546,11.537
Aruba,2.5062,2.4988,1.3484,0.8610399999999999,0.87203,0.9103600000000001,0.9280299999999999,0.9278700000000001,2.391,2.55,2.535,2.58,2.649,2.691,2.647,2.7
Australia,406.7528,404.2466,407.1461,398.1638,393.4642,402.9955,413.3699,413.0927,1251.721,1513.99,1569.107,1518.336,1457.48,1235.061,1267.845,1386.357
Austria,72.3831,70.1157,67.6614,68.0012,64.2533,66.704,67.4021,69.9418,392.623,431.515,409.652,430.203,442.698,381.998,394.215,417.672
Azerbaijan,30.6329,33.3966,35.4969,35.58,37.4144,40.2414,39.6883,38.2097,52.913,65.99,69.687,74.16,75.24,50.844,37.83,41.256
Bahrain,29.0748,28.4388,26.4482,31.0839,31.089000000000002,32.8469,34.2651,34.4557,25.713,28.777,30.749,32.539,33.388,31.126,32.25,35.433
Bangladesh,58.2818,61.5975,65.6025,67.7065,71.1457,83.5008,85.2536,88.0575,122.039,131.079,141.705,161.297,184.013,208.322,235.623,262.077
Barbados,1.4526,1.5042,1.4499,1.4295,1.2535,1.3009,1.3247,1.3227,4.53,4.658,4.61,4.677,4.696,4.725,4.841,4.99
Belarus,63.8624,62.7727,63.6748,64.4237,63.78,58.9658,60.5092,61.3718,57.22,61.368,65.669,75.496,78.736,56.329,47.703,54.723
Belgium,113.58200000000001,104.1586,101.395,101.9704,96.391,100.2295,100.2437,100.116,484.45,527.492,498.161,521.09,531.651,456.067,469.931,495.757
Belize,0.53861,0.6009,0.47631999999999997,0.5129600000000001,0.49463999999999997,0.5222600000000001,0.54743,0.56083,1.397,1.487,1.564,1.608,1.693,1.763,1.807,1.863
Benin,4.9389,5.1213,5.3055,5.6526,6.1582,6.3503,6.7479,7.5021,6.983,7.821,8.157,9.16,9.723,8.295,8.576,9.265
Bhutan,0.46416,0.66746,0.7538100000000001,0.85314,0.9196,0.9879600000000001,1.1146,1.1664,1.433,1.737,1.814,1.849,1.83,2.028,2.117,2.405
Bolivia,14.9414,15.8512,18.4857,18.5716,20.0298,20.0019,20.5623,20.8852,18.807,22.732,26.674,30.018,32.853,32.907,34.091,38.058
Bosnia and Herzegovina,21.1456,23.7613,22.1362,21.801,22.1176,24.7642,26.0017,26.6469,17.164,18.629,17.207,18.155,18.522,16.21,16.91,18.169
Botswana,4.6536,4.1384,4.1856,5.1848,6.9868,7.103,7.0984,7.875,12.794,15.393,16.11,14.915,16.259,14.445,15.658,17.383
Brazil,411.2402,430.1949,460.0631,493.5935,519.5263,512.0819,473.7414,476.0668,2207.62,2613.992,2464.398,2471.563,2456.168,1800.025,1795.601,2053.208
Brunei Darussalam,8.0608,9.5447,9.4934,7.6284,8.9255,10.3553,9.9647,10.2269,13.707,18.525,19.047,18.092,17.098,12.931,11.399,12.128
Bulgaria,47.7928,53.1165,48.2695,42.586000000000006,45.1425,48.1327,45.2874,49.0712,50.611,57.42,53.901,55.557,56.815,50.201,53.236,58.335
Burkina Faso,1.8939,2.1412,2.5503,2.9924,2.8021,2.7813,2.9698,3.335,8.963,10.734,11.172,11.955,12.398,10.425,10.893,12.349
Burundi,0.21251,0.23756,0.2736,0.27823000000000003,0.43153,0.47666000000000003,0.50815,0.5291399999999999,2.032,2.236,2.333,2.575,2.934,3.005,3.138,3.396
Cambodia,4.9169,5.0943,5.3335,5.4758,6.5164,6.9765,7.482,7.9383,11.232,12.818,14.057,15.228,16.702,18.083,20.043,22.225
Cameroon,6.662000000000001,5.6306,5.975,6.615,6.854,7.2174,7.5861,7.6872,26.193,29.364,29.121,32.358,34.999,30.932,32.635,34.993
Canada,555.4597,560.7759,563.6752,568.8924,568.0084,565.5767,558.189,572.7826,1617.266,1792.833,1828.686,1847.207,1803.529,1556.127,1530.273,1650.187
Central African Republic,0.26381,0.27846,0.29312,0.29678000000000004,0.30045,0.30346,0.31085999999999997,0.31073,1.986,2.196,2.171,1.519,1.706,1.585,1.756,1.937
Chad,0.51662,0.53861,0.5956899999999999,0.68057,0.70713,0.71346,0.72897,0.7287100000000001,10.702,12.181,12.411,12.994,14.003,10.952,10.095,9.892
Chile,71.3298,78.0838,79.7039,81.676,80.9771,81.1612,86.12799999999999,84.6032,218.308,252.096,267.021,278.345,260.479,243.908,250.265,277.668
Colombia,75.3004,75.7431,79.3503,89.0001,83.4155,86.0223,86.37299999999999,81.2268,286.039,334.476,370.345,381.844,381.241,293.493,282.72,311.796
Comoros,0.16122,0.13557,0.1429,0.17587,0.15389,0.16791,0.18137,0.18947999999999998,0.544,0.611,0.596,0.658,0.686,0.582,0.612,0.649
Costa Rica,7.428,7.5844,7.607,7.4312,7.5871,8.1721,8.5657,8.695,37.634,42.717,46.984,50.326,51.181,55.41,57.828,58.654
Croatia,21.2451,20.8017,19.243,18.5882,17.8507,17.9966,18.2215,17.1816,59.866,62.399,56.549,58.158,57.683,49.519,51.623,55.201
Cyprus,8.0179,7.7002,7.1699,6.4949,6.8785,6.9029,7.3078,7.5147,25.608,27.454,25.055,24.094,23.401,19.691,20.461,22.186
Czech Republic,117.4956,115.0233,110.9141,106.4012,104.0603,104.7846,106.5433,107.8958,207.478,227.948,207.376,209.402,207.818,186.83,195.09,215.914
Denmark,49.2923,44.3155,39.8809,41.8251,37.6235,35.3151,37.1173,34.5501,321.995,344.003,327.149,343.584,352.994,302.673,311.988,329.866
Djibouti,0.51662,0.47266,0.51662,0.59218,0.68269,0.74049,0.78823,0.81701,1.099,1.239,1.354,1.455,1.588,1.727,1.889,2.029
Dominica,0.13923,0.12824000000000002,0.13557,0.1319,0.13557,0.14153,0.14427,0.14425,0.494,0.501,0.486,0.508,0.528,0.535,0.581,0.553
Dominican Republic,20.5744,20.7807,21.6513,20.9578,20.9911,21.4711,21.7823,21.2688,53.921,58.088,60.747,62.758,66.157,68.898,72.434,76.091
Ecuador,35.8841,37.9735,37.4605,40.2522,43.196999999999996,41.8744,39.7539,38.7973,69.555,79.277,87.925,95.13,101.726,99.29,99.938,104.296
Egypt,198.8077,213.271,211.9927,208.4508,197.1015,200.4222,208.9113,218.6644,230.024,247.726,278.769,288.007,305.567,332.075,332.484,236.528
El Salvador,6.317,6.5005,6.5057,6.0936,6.1695,6.5379,6.8343,6.992000000000001,18.448,20.284,21.386,21.991,22.593,23.438,24.154,24.928
Equatorial Guinea,4.6753,6.1225,5.1113,5.1589,5.3421,5.8365,6.4583,6.7149,16.299,21.329,22.39,21.943,21.737,13.18,11.233,12.287
Eritrea,0.5079899999999999,0.5714199999999999,0.62967,0.63878,0.66275,0.71653,0.76427,0.79305,2.117,2.609,3.061,3.516,3.964,4.442,5.005,5.813
Estonia,19.0149,19.0972,17.9381,19.6956,18.9038,15.8911,17.4935,19.8093,19.536,23.191,23.057,25.145,26.658,22.916,23.994,26.665
Ethiopia,6.3957,7.479,8.1495,10.0802,10.9911,12.3814,12.9419,13.3962,29.917,31.958,42.221,46.544,54.165,63.081,70.886,75.745
Fiji,1.2012,1.0679,1.0411,1.1292,1.1465,1.2507,1.2641,1.3444,3.14,3.775,3.972,4.19,4.484,4.344,4.569,4.891
Finland,63.9918,56.5441,51.1119,51.9016,47.7997,44.3461,47.9264,45.956,248.262,273.925,256.849,270.065,273.042,232.582,239.15,252.809
France,397.9005,372.7926,374.1126,374.2586,343.5726,348.1637,350.1047,356.3007,2647.537,2864.03,2685.311,2811.957,2856.697,2439.435,2466.152,2587.682
Gabon,4.7823,4.942,5.0773,5.2577,5.1695,5.2871,5.4761,5.5264,14.385,18.203,17.181,17.596,18.209,14.385,14.02,14.922
Georgia,6.2091,7.7854,8.2474,7.6643,8.7908,9.4636,9.8389,10.9517,11.638,14.435,15.847,16.14,16.51,13.993,14.378,15.08
Germany,833.6849,810.8023,815.1974,832.643,793.6358,797.0782,801.753,799.3732,3423.466,3761.142,3545.946,3753.687,3904.921,3383.091,3496.606,3700.613
Ghana,9.7107,9.5335,11.5198,14.2811,14.122,14.4475,15.1037,16.7648,43.043,53.645,56.504,63.279,53.173,48.595,54.989,58.978
Greece,97.34299999999999,94.5317,91.4178,81.7226,78.6558,74.9625,71.3731,76.0004,299.919,288.062,245.807,239.937,237.406,196.69,195.303,203.493
Grenada,0.26014,0.25282,0.27114,0.30411,0.24181999999999998,0.25723,0.26963000000000004,0.27623000000000003,0.771,0.779,0.8,0.843,0.911,0.997,1.062,1.127
Guatemala,11.3615,11.5205,11.6466,13.2967,17.9254,19.8033,20.9371,20.878,41.338,47.655,50.388,53.851,58.722,63.767,68.663,75.62
Guinea,2.5749,2.7347,2.5428,2.2564,2.3921,2.4453,2.6017,2.9047,6.866,6.034,7.304,8.374,8.79,8.79,8.695,10.401
Guinea-Bissau,0.23815999999999998,0.24549,0.25282,0.25648000000000004,0.27114,0.27458,0.2939,0.33133,0.851,1.099,0.99,1.046,1.055,1.048,1.179,1.35
Guyana,1.7184,1.7807,1.9932,1.9346,2.0079,2.0179,2.0527,2.0766,2.262,2.582,2.865,2.988,3.079,3.197,3.504,3.561
Haiti,2.0934,2.1843,2.2789,2.3705,2.8246,2.9436,2.9984,2.9979,6.62,7.516,7.89,8.451,8.774,8.672,8.178,8.608
Honduras,7.8007,8.7735,8.7871,8.871,9.2762,10.0552,10.5762,10.6691,15.73,17.649,18.529,18.499,19.757,20.98,21.718,23.101
Hungary,52.1205,50.358000000000004,46.8085,43.7677,43.9154,46.6652,47.5782,50.3447,130.923,140.782,127.857,135.221,140.083,123.074,126.008,139.761
Iceland,3.6209,3.4864,3.4887,3.4818,3.4618,3.5364,3.49,3.48,13.684,15.159,14.724,16.034,17.758,17.389,20.618,24.493
India,1700.0274,1817.1716,1983.7588,1997.8786,2207.5339,2276.4072,2377.4479,2466.7654,1708.46,1823.052,1827.637,1856.721,2039.127,2103.588,2289.754,2652.245
Indonesia,427.7895,601.3254,633.145,486.13,460.0157,459.6288,464.8568,486.8438,755.256,892.59,919.002,916.646,891.051,860.741,932.066,1015.292
Iran,564.0345,579.04,600.6803,608.9629,639.1113,630.3618,637.5622,672.3123,482.384,577.214,389.199,396.408,423.409,375.404,404.445,430.709
Iraq,110.9853,132.8301,151.0926,163.5704,166.368,167.7119,184.9387,194.4546,138.517,185.75,218.032,234.638,234.651,177.722,170.518,193.521
Ireland,41.6795,38.0093,38.1948,37.1828,36.6816,38.4436,39.9281,39.7384,222.533,238.088,225.14,238.708,259.2,290.858,301.968,331.597
Israel,68.2869,68.5947,74.7845,65.9971,63.5507,66.0959,65.1682,66.5534,233.733,261.717,257.435,292.917,310.008,300.471,319.378,353.268
Italy,424.8732,413.4315,391.9904,363.3999,348.4762,355.4832,350.32300000000004,355.4542,2129.021,2278.376,2073.971,2131.159,2155.151,1833.195,1869.973,1946.888
Jamaica,7.2596,7.7976,7.4182,8.038,7.4153,7.6977,7.8114,7.7726,13.193,14.413,14.765,14.211,13.864,14.152,14.108,14.773
Japan,1211.5729,1261.3986,1302.0829,1314.0696,1264.1733,1223.6665,1204.3186,1205.0612,5700.099,6157.458,6203.212,5155.716,4850.414,4389.476,4926.668,4859.951
Jordan,20.6143,21.2438,23.8131,23.7393,25.7577,23.1678,21.6301,21.3567,26.425,28.986,31.418,34.115,36.382,37.97,39.253,40.766
Kazakhstan,236.9621,227.0796,233.8608,239.8367,256.8567,263.4839,278.3619,292.5885,148.047,192.626,207.999,236.635,221.416,184.388,137.289,162.887
Kenya,11.745999999999999,12.9281,11.9672,12.7705,13.6564,14.5486,15.2342,15.8182,40,41.672,50.422,55.125,61.547,64.236,70.876,79.212
Kiribati,0.062287999999999996,0.062287999999999996,0.062287999999999996,0.062287999999999996,0.062287999999999996,0.067973,0.068752,0.073409,0.157,0.182,0.19,0.186,0.18,0.171,0.178,0.186
Kuwait,89.2722,90.6301,101.8903,97.8147,94.7633,102.32700000000001,103.456,104.3935,115.401,154.02,174.066,174.179,162.695,114.606,109.381,119.533
Latvia,8.647,7.8827,7.5839,7.4236,7.2388,7.3337,7.2636,7.1668,23.809,28.496,28.141,30.26,31.385,26.986,27.707,30.524
Lebanon,20.0152,20.2641,22.3688,22.1964,23.7038,21.2692,19.7574,19.5468,38.42,40.076,44.231,46.867,48.296,49.974,51.239,53.394
Lesotho,2.2753,2.3303,2.4036,2.4329,2.4659,2.4847,2.4619,2.8238,2.525,2.779,2.655,2.506,2.647,2.351,2.442,2.733
Liberia,0.78314,0.8809799999999999,1.0114,0.93545,0.9017200000000001,0.9128799999999999,0.96903,1.0778,1.998,2.398,2.721,3.065,3.137,3.163,3.277,3.284
Libya,61.1216,39.2646,52.4087,56.0023,56.7279,52.1646,51.3104,53.3874,68.974,31.999,79.759,51.896,24.262,17.194,18.539,30.565
Lithuania,13.7126,14.0666,14.1337,13.1063,12.8747,13.1416,13.1575,13.3939,37.2,43.564,42.887,46.423,48.632,41.538,42.991,47.64
Luxembourg,11.1543,11.0504,10.7881,10.2333,9.7575,9.2597,9.003,9.2947,53.312,60.06,56.709,61.759,66.209,57.233,58.985,62.441
Madagascar,1.9383,2.3146,2.6776,3.0895,3.0472,3.0474,3.0443,3.1821,8.73,9.893,9.92,10.602,10.674,9.703,9.959,11.466
Malawi,1.1216,1.156,1.0759,1.1885,1.2254,1.2752,1.3155,1.3675,6.957,7.984,5.981,5.432,6.055,6.402,5.492,6.226
Malaysia,215.9923,217.6792,215.8952,233.8285,240.0551,245.0976,251.0896,254.5759,255.024,297.961,314.443,323.276,338.066,296.636,296.753,314.708
Maldives,0.93432,0.98562,1.1102,1.0919,1.3337,1.4554,1.4721,1.5718,2.588,2.629,2.885,3.286,3.69,4.098,4.402,4.858
Mali,0.9636299999999999,1.0442,0.9929399999999999,1.0259,1.4106,1.4285,1.5291,1.7238,10.699,12.99,12.45,13.243,14.369,13.106,14.016,15.366
Malta,2.5902,2.6553,2.8105,2.4739,2.463,1.7578,1.4203,1.4445,8.757,9.511,9.215,10.154,11.302,10.701,11.446,12.754
Marshall Islands,0.10259000000000001,0.10259000000000001,0.10259000000000001,0.10259000000000001,0.10259000000000001,0.11195999999999999,0.11324000000000001,0.12090999999999999,0.168,0.176,0.187,0.192,0.185,0.181,0.198,0.208
Mauritania,1.9602,2.1105,2.3303,2.323,2.323,2.3525,2.5180000000000002,2.8387,4.344,5.18,5.226,5.724,5.391,4.831,4.686,4.919
Mauritius,3.9132,3.9168,3.9644,4.067,4.2246,4.1619,4.0866,4.2792,10.004,11.518,11.669,12.13,12.803,11.692,12.232,13.267
Mexico,466.0907,486.5032,498.6585,492.5597,482.5279,477.2737,504.9799,490.2946,1057.801,1180.487,1201.094,1274.444,1314.569,1170.567,1077.83,1158.229
Moldova,4.8309,4.9633,4.7657,4.8994,4.7442,4.9487,5.2004,5.0936,6.977,8.417,8.708,9.496,9.51,7.726,8.072,9.67
Mongolia,13.82,21.4265,26.1897,38.6893,20.7997,20.3564,28.680999999999997,30.3907,7.185,10.41,12.278,12.582,12.227,11.75,11.159,11.434
Montenegro,2.5795,2.5685,2.334,2.246,2.2094,2.4392,2.5735,2.6278,4.147,4.543,4.09,4.466,4.595,4.055,4.376,4.854
Morocco,56.2,57.6974,62.4833,58.8304,59.6248,61.0432,61.2857,62.7253,93.217,101.371,98.266,106.826,110.081,101.179,103.346,109.709
Mozambique,2.6339,3.1074,2.9808,3.8738,8.2536,9.0184,9.8064,10.2744,10.457,13.131,15.178,16.013,16.872,14.798,10.897,12.586
Myanmar,12.4426,14.2215,10.9502,12.72,21.4603,23.4407,24.0176,25.3332,39.779,54.119,58.467,60.539,63.273,63.225,60.452,61.386
Namibia,3.0961,2.7648,3.3641,2.6012,3.7234,3.9185,3.9988,4.0653,11.281,12.423,13.016,12.724,12.796,11.769,11.278,13.249
Nauru,0.043968,0.040304,0.040304,0.043968,0.047632,0.05198,0.052575,0.056136,0.049,0.073,0.104,0.109,0.117,0.1,0.102,0.114
Nepal,4.894,5.2765,5.5217,6.2847,7.662000000000001,7.5854,8.526,9.0282,16.002,19.011,18.852,19.27,19.995,21.411,21.186,24.88
Netherlands,182.1796,169.1187,164.9487,164.7573,157.3471,165.0299,165.5221,164.0459,848.133,904.915,839.436,877.198,892.397,765.65,783.852,832.239
New Zealand,35.0107,34.3288,35.9693,35.2145,35.6104,35.8371,34.4629,36.0139,145.311,167.113,175.061,186.98,199.755,175.398,185.059,200.317
Nicaragua,4.468999999999999,4.8017,4.5488,4.476,4.7812,5.0686,5.2998,5.4229,8.759,9.774,10.532,10.983,11.88,12.611,13.184,13.814
Niger,1.1692,1.3178,1.8564,1.935,2.1227,2.0894,2.2345,2.4851,5.729,6.415,6.946,7.67,8.243,7.255,7.61,8.136
Nigeria,90.3154,94.2254,96.5668,95.8743,93.9854,103.8245,101.5718,107.3009,369.062,414.095,460.952,514.965,568.496,493.841,405.442,376.361
Norway,45.8233,44.9826,44.5608,44.3027,43.9527,44.6637,44.0316,44.7899,429.131,498.832,510.229,523.502,499.338,386.663,371.345,399.489
Oman,46.7501,53.2631,58.343,60.6572,60.3739,64.2211,64.4421,65.1864,57.048,68.017,76.616,78.784,81.077,68.919,65.941,70.784
Pakistan,157.7647,158.342,159.7276,160.5957,162.4276,172.09,187.4054,198.81,177.166,213.588,224.384,231.218,244.361,270.556,278.655,304.952
Palau,0.25282,0.25282,0.25282,0.25648000000000004,0.26014,0.28389000000000003,0.28714,0.30659000000000003,0.183,0.193,0.215,0.225,0.246,0.293,0.304,0.29
Panama,8.9994,9.9008,9.8519,10.45,8.5512,9.6078,10.196,10.059,29.44,34.686,40.43,45.6,49.921,54.092,57.958,62.284
Papua New Guinea,4.7364,5.3,5.0506,6.1581,6.2899,6.8769,6.9366,7.3875,14.251,17.985,21.295,21.261,23.06,20.639,19.028,20.334
Paraguay,5.026,5.2479,5.1935,5.3273,5.5935,5.6983,5.7886,5.8503,27.239,33.716,33.283,38.585,40.277,36.164,36.054,39.009
Peru,56.6779,48.6913,53.9376,55.9841,60.583999999999996,62.7495,66.3412,64.7815,148.82,170.837,192.933,202.118,202.196,191.515,194.47,214.128
Philippines,82.9329,83.5348,88.9271,95.7229,103.025,113.8232,119.2737,127.60799999999999,199.591,224.143,250.092,271.836,284.585,292.774,304.889,313.595
Poland,332.1307,331.6946,324.2166,319.9113,307.5551,310.6151,322.23400000000004,326.6045,479.161,528.571,500.846,524.399,545.284,477.568,471.843,526.594
Portugal,52.8818,51.7018,49.8779,48.0819,47.9558,52.1952,50.2748,54.8636,238.748,245.119,216.488,226.144,229.995,199.521,206.361,219.748
Qatar,71.9199,79.6476,93.2194,84.1525,106.8712,120.5472,118.6898,129.8033,125.122,167.775,186.834,198.728,206.225,161.74,151.732,166.929
Romania,83.5513,89.3432,86.3209,76.8292,77.1605,77.7882,75.0517,79.9955,166.225,183.443,171.196,190.948,199.628,177.895,188.495,211.407
Russian Federation,1657.5607,1712.4248,1726.0995,1665.9886,1667.1107,1671.8951,1668.0699,1692.7948,1632.841,2044.618,2202.672,2289.244,2056.583,1363.707,1282.663,1578.417
Rwanda,0.57913,0.6521100000000001,0.72453,0.79038,0.82357,0.91689,0.9841799999999999,1.0247,5.774,6.492,7.316,7.623,8.01,8.294,8.475,9.141
Saint Kitts and Nevis,0.21984,0.23083,0.21984,0.2235,0.23083,0.24098000000000003,0.24566,0.24561,0.767,0.819,0.8,0.849,0.917,0.936,0.959,0.992
Saint Lucia,0.40304,0.4067,0.4067,0.4067,0.4067,0.42458,0.43282,0.43273999999999996,1.399,1.444,1.438,1.481,1.542,1.641,1.688,1.81
Saint Vincent and the Grenadines,0.21984,0.19785999999999998,0.25282,0.20885,0.20885,0.21803000000000003,0.22225999999999999,0.22221999999999997,0.681,0.676,0.693,0.721,0.728,0.755,0.771,0.785
Samoa,0.18686,0.20152,0.19785999999999998,0.19785999999999998,0.19785999999999998,0.21591999999999997,0.21839,0.23318000000000003,0.639,0.739,0.801,0.805,0.804,0.804,0.786,0.841
Saudi Arabia,517.7159,497.659,563.1795,540.8052,601.8961,620.883,631.5492,635.0111,528.207,671.239,735.975,746.647,756.35,654.27,644.936,688.586
Senegal,7.2801,7.8194,7.3629,7.8499,8.3058,8.1149,8.5416,9.3185,16.245,17.895,17.835,18.966,19.802,17.777,18.982,21.135
Serbia,45.6964,48.9571,43.7245,44.5458,37.1891,41.3375,43.351000000000006,45.0928,41.369,49.28,43.3,48.394,47.062,39.629,40.63,44.12
Seychelles,0.44333999999999996,0.34075,0.43968,0.40304,0.49463999999999997,0.53972,0.58297,0.60905,0.97,1.018,1.06,1.328,1.343,1.377,1.427,1.498
Sierra Leone,0.57525,0.74379,0.8610399999999999,1.0332,1.1395,1.1540000000000001,1.2352,1.3925,2.578,2.942,3.802,4.916,5.007,4.252,3.786,3.748
Singapore,55.5975,45.1844,36.3432,55.6305,56.3267,60.7206,62.8291,64.7651,236.42,276.622,291.61,305.157,313.26,306.254,316.558,336.679
Slovenia,16.3526,16.3406,15.8008,15.1671,13.5126,13.5991,14.3998,14.6096,48.103,51.338,46.378,48.131,49.969,43.124,44.66,48.553
Solomon Islands,0.19785999999999998,0.19785999999999998,0.19785999999999998,0.20152,0.20152,0.21991,0.22243000000000002,0.2375,0.681,0.933,1.064,1.13,1.174,1.158,1.235,1.298
Somalia,0.6118899999999999,0.60456,0.60822,0.60822,0.60822,0.66365,0.7168399999999999,0.7489,no data,6.192,6.39,6.341,6.419,6.669,6.836,7.124
South Africa,472.4826,468.9272,467.0806,464.6191,488.0062,461.1166,468.0454,456.3252,375.304,416.879,396.332,366.821,350.901,317.578,296.273,349.433
Spain,283.8775,284.5947,279.2713,252.6827,255.1957,271.7272,260.9859,281.422,1434.286,1489.431,1336.759,1362.28,1379.098,1199.688,1238.01,1316.951
Sri Lanka,13.0503,14.8866,15.7757,15.2533,18.1589,20.7134,21.9507,23.1384,56.71,65.267,68.419,74.277,79.312,80.557,81.776,87.351
Sudan,14.383,13.9939,14.2236,15.0763,14.9667,16.2969,17.4879,18.2059,65.716,66.448,48.948,52.892,60.726,65.296,55.566,45.677
Suriname,2.3954,1.9598,2.2444,1.9022,1.9758,1.9972,2.0308,2.0537,4.368,4.422,4.98,5.146,5.241,4.787,3.166,3.069
Sweden,52.9273,48.97,46.4036,44.769,43.2257,43.3856,42.568000000000005,41.5015,488.909,563.797,544.482,579.361,574.413,498.118,512.205,535.607
Switzerland,45.0451,40.9797,42.2509,43.1839,39.2378,38.7385,39.2049,40.074,583.053,699.67,667.89,688.747,709.496,679.721,670.247,679.011
Syria,60.7164,56.1393,43.7901,35.809,30.112,28.9252,27.9994,27.9145,60.043,no data,no data,no data,no data,no data,no data,no data
Tajikistan,2.5178,2.32,2.9063,3.4371,5.0607,5.4602,5.579,5.7114,5.642,6.523,7.592,8.506,9.242,7.857,6.953,7.144
Tanzania,6.8406,7.807,9.2381,10.912,11.2413,12.4535,13.6047,14.2305,31.086,33.583,39.649,45.68,50.003,47.385,49.774,53.271
Thailand,279.4285,275.836,293.6644,296.903,313.1865,320.574,324.8341,330.8396,341.105,370.818,397.558,420.334,407.339,401.266,412.437,455.322
Timor-Leste,0.2345,0.24549,0.29312,0.43968,0.46898999999999996,0.5118,0.51766,0.55273,3.999,5.682,6.671,5.65,4.045,3.104,2.521,2.778
Togo,2.5994,2.5076,2.2926,2.2361,2.2197,2.6403,2.7522,2.9911,3.432,3.871,3.876,4.322,4.576,4.181,4.486,4.795
Tonga,0.11725,0.10259000000000001,0.10626,0.11358,0.12090999999999999,0.13195,0.13346,0.1425,0.39,0.456,0.459,0.446,0.447,0.413,0.428,0.455
Trinidad and Tobago,47.8123,46.806999999999995,45.3105,46.4155,46.1433,45.685,41.0236,40.6972,22.522,25.789,25.769,27.199,27.48,25.121,21.722,22.053
Tunisia,27.1025,25.5243,26.3064,26.8655,27.892,26.4047,26.9077,28.1341,44.054,45.81,45.044,46.248,47.634,43.152,41.808,39.956
Turkey,319.5284,344.7455,354.1348,346.781,357.56,380.8581,402.8208,447.8972,772.29,832.497,873.696,950.328,934.075,859.449,863.39,851.521
Turkmenistan,57.1089,62.1823,64.5329,66.3741,68.0285,75.37899999999999,76.5633,72.7025,22.583,29.233,35.164,39.198,43.524,35.8,36.18,37.926
Tuvalu,0.007328,0.007328,0.010992,0.010992,0.010992,0.011995,0.012133,0.012955000000000001,0.032,0.039,0.038,0.038,0.037,0.036,0.037,0.04
Uganda,3.7652,4.0678,3.8607,4.6452,4.9877,5.3248,5.5714,5.7828,20.212,21.108,24.587,25.71,26.723,22.96,24.75,26.456
Ukraine,293.5188,307.0712,303.7051,296.0741,256.5836,223.5797,235.15599999999998,212.1163,136.011,163.161,175.707,179.572,130.571,90.489,93.313,112.125
United Arab Emirates,158.1647,162.7049,173.9237,168.21099999999998,208.8116,227.4772,233.4265,231.7735,289.787,350.666,374.591,390.108,403.137,358.135,357.045,382.575
United Kingdom,512.2143,469.8115,487.6708,477.7326,438.6912,422.6626,398.5509,384.7068,2455.309,2635.799,2677.082,2755.356,3036.31,2897.06,2669.107,2639.974
Uruguay,6.2967,7.6538,8.5931,7.4898,6.6561,6.6511,6.7644,6.8403,40.285,47.962,51.266,57.531,57.236,53.275,52.687,59.18
Uzbekistan,103.5815,113.0454,115.1219,102.6549,104.4808,110.6693,97.9253,98.9989,39.338,45.941,51.824,57.7,63.113,66.489,67.069,48.826
Vanuatu,0.12090999999999999,0.1319,0.11358,0.10626,0.15389,0.16793,0.16985999999999998,0.18136,0.681,0.759,0.77,0.798,0.817,0.774,0.798,0.88
Venezuela,188.1793,175.8558,197.7298,182.8689,184.2366,176.8973,166.0964,159.5676,294.282,334.069,331.457,234.401,212.347,323.595,279.249,143.841
Vietnam,136.1131,145.0478,135.3753,140.4389,159.7124,184.5019,197.8016,198.8265,112.771,134.598,155.483,170.444,185.759,191.288,201.326,220.376
Yemen,23.1519,19.512999999999998,18.2383,24.9804,22.2626,20.3846,19.1354,18.9658,30.907,32.726,35.401,40.415,43.229,42.628,30.968,26.819
Zambia,2.5626,2.7926,3.4807,3.7561,4.2557,4.4014,4.5751,4.7461,20.265,23.46,25.503,28.046,27.151,21.243,20.941,25.868
Zimbabwe,7.681,9.4399,7.6146,11.5362,11.8663,10.9076,9.9326,10.3977,12.042,14.102,17.115,19.091,19.496,19.963,20.054,21.89
